key,value
title,"Атлас горизонтальних зв'язків"
hide,"Приховати"
show,"Показати"
choose,"Вибрати"
layout,"мапу"
language,"Мова"
loading,"завантажується..."
loading_graph,"Завантажуємо граф"
clusters_legend,"Детальніше про кластери"
overview_title,"Загальні риси"
algo,"Алгоритм"
algo_note,"ЗАУВАЖТЕ: Нижче описаний алгоритм та деталі про спільноти наданий автором графу. Опис до нього може бути недоступний обраною мовою."
available_languages,"Доступні мови для цього графу"
red_arrows,"Червоні стрілочки"
blue_arrows,"Сині стрілочки"
overview_clusters,"Опис поточної мапи:"
users,"Користувачі"
represented,"Представлені"
interactions,"Взаємодії"
show_communities,"Показати спільноти"
graph_will_refresh,"(граф оновиться)"
experimental_options,"Експериментальні опції"
show_hidden_clusters,"Приховані кластери"
interactions_of_friends,"Зв'язки друзів"
labels_of_clusters,"Назви кластерів"
more_details,"Показати деталі"
cluster_algo_made_by,"Алгоритм від"
visualization,"Візуалізація на основі"
based_on_atlas,"атласу"
from,"від"
search_for_a_handle,"Шукати за ім'ям"
community,"Спільнота"
cluster,"Кластер"
supercluster,"Суперкластер"
show_top,"Показати топ взаємодій"
hide_top,"Cховати топ взаємодій"
interactions,"взаємодії"
show_community,"Показати cписок"
hide_community,"Cховати список"
info_top_moots,"Інформація"
user,"Користувач"
belongs_to,"належить до"
these_are_top_moots_that,"Топ користувачів, з якими"
these_are_top_community,"Топ користувачів спільноти"
these_are_top_cluster,"Топ користувачів кластеру"
has_interacted_with,"взаємодіяли"
interactions_weight,"Вага зв'язку"
node,"Розмір"
size,"кульки"